provider_name,provider_name_id
BARSTOW COMMUNITY HOSPITAL,174
BARTLETT REGIONAL HOSPITAL,175
BARTON MEMORIAL HOSPITAL,176
BARTOW REGIONAL MEDICAL CENTER,177
BATES COUNTY MEMORIAL HOSPITAL,178
BATON ROUGE GENERAL MEDICAL CENTER,179
BAXTER REGIONAL MEDICAL CENTER,180
BAY AREA HOSPITAL,181
BAY AREA MED CTR,182
BAY MEDICAL CENTER,183
BAY PARK COMMUNITY HOSPITAL,184
BAYFRONT MEDICAL CENTER INC,185
BAYHEALTH - KENT GENERAL HOSPITAL,186
BAYHEALTH - MILFORD MEMORIAL HOSPITAL,187
BAYLOR ALL SAINTS MEDICAL CENTER AT FW,188
BAYLOR HEART AND VASCULAR HOSPITAL,189
BAYLOR MEDICAL CENTER AT CARROLLTON,190
BAYLOR MEDICAL CENTER AT FRISCO,191
BAYLOR MEDICAL CENTER AT GARLAND,192
BAYLOR MEDICAL CENTER AT IRVING,193
BAYLOR MEDICAL CENTER AT TROPHY CLUB,194
BAYLOR MEDICAL CENTER AT UPTOWN,195
BAYLOR MEDICAL CENTER AT WAXAHACHIE,196
BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON,197
BAYLOR REGIONAL MEDICAL CENTER AT GRAPEVINE,198
BAYLOR REGIONAL MEDICAL CENTER AT PLANO,199
BAYLOR SURGICAL HOSPITAL AT FORT WORTH,200
BAYLOR UNIVERSITY MEDICAL CENTER,201
BAYONNE HOSPITAL CENTER,202
BAYSHORE COMMUNITY HOSPITAL,203
BAYSHORE MEDICAL CENTER,204
BAYSTATE FRANKLIN MEDICAL CENTER,205
BAYSTATE MARY LANE HOSPITAL,206
BAYSTATE MEDICAL CENTER,207
BEACHAM MEMORIAL HOSPITAL,208
BEAR VALLEY COMMUNITY HOSPITAL,209
BEAUFORT COUNTY MEDICAL CENTER,210
BEAUFORT COUNTY MEMORIAL HOSPITAL,211
"BEAUMONT HOSPITAL, GROSSE POINTE",212
BEAUREGARD MEMORIAL HOSPITAL,213
BEAVER DAM COM HSPTL,214
BEAVER VALLEY HOSPITAL,215
BECKLEY ARH HOSPITAL,216
BEDFORD MEMORIAL HOSPITAL,217
BEEBE MEDICAL CENTER,218
BELLEVUE HOSPITAL,219
BELLEVUE HOSPITAL CENTER,220
BELLEVUE MEDICAL CENTER,221
BELLFLOWER MEDICAL CENTER,222
BELLIN MEMORIAL HSPTL,223
BELLVILLE GENERAL HOSPITAL,224
BELMONT COMMUNITY HOSPITAL,225
BELOIT MEM HSPTL,226
BENEDICTINE HOSPITAL,227
BENEFIS HOSPITALS INC,228
BERGEN REGIONAL MEDICAL CENTER,229
BERGER HOSPITAL,230
BERKSHIRE MEDICAL CENTER INC,231
BERRIEN COUNTY HOSPITAL,232
BERT FISH MEDICAL CENTER,233
BERTRAND CHAFFEE HOSPITAL,234
BERWICK HOSPITAL CENTER,235
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,236
BETH ISRAEL DEACONESS MEDICAL CENTER,237
BETH ISRAEL MEDICAL CENTER,238
BETHESDA MEMORIAL HOSPITAL,239
BETHESDA NORTH HOSPITAL,240
BETSY JOHNSON REGIONAL  HOSPITAL,241
BEVERLY HOSPITAL,242
BEVERLY HOSPITAL CORPORATION,243
BIBB MEDICAL CENTER,244
BILLINGS CLINIC HOSPITAL,245
BILOXI REGIONAL MEDICAL CENTER,246
BLACK HILLS SURGICAL HOSPITAL LLP,247
BLAKE MEDICAL CENTER,248
BLANCHARD VALLEY HOSPITAL,249
BLESSING HOSPITAL,250
BLOOMSBURG HOSPITAL,251
BLOUNT MEMORIAL HOSPITAL,252
BLUEFIELD REGIONAL MEDICAL CENTER,253
BLUFFTON REGIONAL MEDICAL CENTER,254
BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,255
BOCA RATON REGIONAL HOSPITAL,256
BOLIVAR GENERAL HOSPITAL,257
BOLIVAR MEDICAL CENTER,258
BON SECOURS - DEPAUL MEDICAL CENTER,259
BON SECOURS - MEMORIAL REGIONAL MEDICAL,260
BON SECOURS - RICHMOND COMMUNITY HOSPITAL,261
BON SECOURS - ST FRANCIS MEDICAL CENTER,262
BON SECOURS - ST MARYS HOSPITAL OF RICHMOND,263
BON SECOURS COMMUNITY HOSPITAL,264
BON SECOURS HOSPITAL,265
BON SECOURS MARYVIEW MEDICAL CENTER,266
BON SECOURS-ST FRANCIS XAVIER HOSPITAL,267
BOONE HOSPITAL CENTER,268
BORGESS MEDICAL CENTER,269
BOSTON MEDICAL CENTER CORPORATION,270
BOTHWELL REGIONAL HEALTH CENTER,271
BOTSFORD HOSPITAL,272
BOULDER COMMUNITY HOSPITAL,273
BOURBON COMMUNITY HOSPITAL,274
BOWIE MEMORIAL HOSPITAL,275
BOZEMAN DEACONESS HOSPITAL,276
BRADFORD REGIONAL MEDICAL CENTER,277
BRANDON REGIONAL HOSPITAL,278
BRANDYWINE HOSPITAL,279
BRATTLEBORO MEMORIAL HOSPITAL,280
BRAZOSPORT REGIONAL HEALTH SYSTEM,281
BRIDGEPORT HOSPITAL,282
BRIGHAM AND WOMEN'S HOSPITAL,283
BRIGHAM CITY COMMUNITY HOSPITAL,284
BRIGHTON HOSPITAL,285
BRISTOL HOSPITAL,286
BRISTOW MEDICAL CENTER,287
BROADLAWNS MEDICAL CENTER,288
BROMENN HEALTHCARE,289
BRONSON BATTLE CREEK HOSPITAL,290
BRONSON METHODIST HOSPITAL,291
BRONX-LEBANON HOSPITAL CENTER,292
BROOKDALE HOSPITAL MEDICAL CENTER,293
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,294
BROOKINGS HOSPITAL,295
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,296
BROOKS MEMORIAL HOSPITAL,297
BROOKSVILLE REGIONAL HOSPITAL,298
BROOKWOOD MEDICAL CENTER,299
BROTMAN MEDICAL CENTER,300
BROWARD HEALTH BROWARD GENERAL MEDICAL CENTER,301
BROWARD HEALTH IMPERIAL POINT MEDICAL CENTER,302
BROWARD HEALTH NORTH BROWARD MEDICAL CENTER,303
BROWN COUNTY GENERAL HOSPITAL,304
BROWNFIELD REGIONAL MEDICAL CENTER,305
BROWNSVILLE SURGICAL HOSPITAL,306
BROWNWOOD REGIONAL MEDICAL CENTER,307
BRUNSWICK COMMUNITY HOSPITAL,308
BRYAN W WHITFIELD MEM HOSP INC,309
BRYANLGH MEDICAL CENTER,310
BUCHANAN GENERAL HOSPITAL,311
BUCKS COUNTY SPECIALTY HOSPITAL,312
BUFFALO HOSPITAL,313
BULLOCK COUNTY HOSPITAL,314
BURKE MEDICAL CENTER,315
BUTLER COUNTY MEDICAL CENTER,316
BUTLER MEMORIAL HOSPITAL,317
BYRD REGIONAL HOSPITAL,318
CABELL-HUNTINGTON HOSPITAL INC,319
CACHE VALLEY SPECIALITY HOSPITAL,320
CALDWELL MEMORIAL HOSPITAL,321
CALIFORNIA HOSPITAL MEDICAL CENTER LA,322
CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,323
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,324
CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,325
CALLAWAY COMMUNITY HOSPITAL,326
CALVERT MEMORIAL HOSPITAL,327
CAMBRIDGE HEALTH ALLIANCE,328
CAMBRIDGE MEDICAL CENTER,329
CAMC TEAYS VALLEY HOSPITAL,330
CAMDEN CLARK MEDICAL CENTER,331
CAMERON REGIONAL MEDICAL CENTER,332
CAMPBELL COUNTY MEMORIAL HOSPITAL,333
CANCER TREATMENT CENTERS OF AMERICA,334
CANDLER HOSPITAL,335
CANNON MEMORIAL HOSPITAL,336
CANONSBURG GENERAL HOSPITAL,337
CANTON-POTSDAM HOSPITAL,338
CAPE CANAVERAL HOSPITAL,339
CAPE COD HOSPITAL,340
CAPE CORAL HOSPITAL,341
CAPE FEAR VALLEY MEDICAL CENTER,342
CAPE REGIONAL MEDICAL CENTER INC,343
CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,344
CAPITAL HEALTH SYSTEM-FULD CAMPUS,345
CAPITAL MEDICAL CENTER,346
CAPITAL REGION MEDICAL CENTER,347
CAPITAL REGIONAL MEDICAL CENTER,348
CARE REGIONAL MEDICAL CENTER,349
CARILION FRANKLIN MEMORIAL HOSPITAL,350
CARILION NEW RIVER VALLEY MEDICAL CENTER,351
CARILION ROANOKE MEMORIAL CENTER,352
CARILION TAZEWELL COMMUNITY HOSPITAL,353
CARLE FOUNDATION HOSPITAL,354
CARLISLE REGIONAL MEDICAL CENTER,355
CARLSBAD MEDICAL CENTER,356
CARNEY HOSPITAL,357
CAROLINA EAST MEDICAL CENTER,358
CAROLINA PINES REGIONAL MEDICAL CENTER,359
CAROLINAS HOSPITAL SYSTEM,360
CAROLINAS MED CENTER-MERCY,361
CAROLINAS MED CTR-UNIVERSITY,362
CAROLINAS MEDICAL CENTER-LINCOLN,363
CAROLINAS MEDICAL CENTER-NORTHEAST,364
CAROLINAS MEDICAL CENTER-UNION,365
CAROLINAS MEDICAL CENTER/BEHAV HEALTH,366
CARONDELET HEART AND VASCULAR INSTITUTE,367
CARONDELET ST  MARYS HOSPITAL,368
CARONDELET ST JOSEPHS HOSPITAL,369
CARROLL HOSPITAL CENTER,370
CARSON CITY HOSPITAL,371
CARSON TAHOE REGIONAL MEDICAL CENTER,372
CARTERET GENERAL HOSPITAL,373
CARTERSVILLE MEDICAL CENTER,374
"CARTHAGE AREA HOSPITAL, INC",375
CARY MEDICAL CENTER,376
CASA GRANDE REGIONAL MEDICAL CENTER,377
CASCADE VALLEY HOSPITAL,378
CASTLE MEDICAL CENTER,379
CASTLEVIEW HOSPITAL,380
CATAWBA HOSPITAL,381
CATAWBA VALLEY MEDICAL CENTER,382
CATHOLIC MEDICAL CENTER,383
CATSKILL REGIONAL MEDICAL CENTER,384
CAYUGA MEDICAL CENTER AT ITHACA,385
CEDAR PARK REGIONAL MEDICAL CENTER,386
CEDARS-SINAI MEDICAL CENTER,387
CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,388
CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,389
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,390
CENTENNIAL MEDICAL CENTER,391
"CENTERPOINT MEDICAL CENTER OF INDEPENDENCE, LLC",392
CENTINELA HOSPITAL MEDICAL CENTER,393
"CENTRA  HEALTH, INC",394
CENTRAL BAPTIST HOSPITAL,395
CENTRAL CAROLINA HOSPITAL,396
CENTRAL DUPAGE HOSPITAL,397
CENTRAL FLORIDA REGIONAL HOSPITAL,398
CENTRAL KANSAS MEDICAL CENTER,399
CENTRAL LOUISIANA SURGICAL HOSPITAL,400
CENTRAL MAINE MEDICAL CENTER,401
CENTRAL MICHIGAN COMMUNITY HOSPITAL,402
CENTRAL MISSISSIPPI MEDICAL CENTER,403
CENTRAL PENINSULA GENERAL HOSPITAL,404
CENTRAL TEXAS HOSPITAL,405
CENTRAL TEXAS MEDICAL CENTER,406
CENTRAL VERMONT MEDICAL CENTER,407
CENTRAL WASHINGTON HOSPITAL,408
CENTRASTATE MEDICAL CENTER,409
CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,410
CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,411
CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,412
CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,413
CENTURA HEALTH-ST ANTHONY HOSPITAL,414
CENTURA HEALTH-ST ANTHONY NORTH HOSPITAL,415
CENTURA HEALTH-ST MARY CORWIN MEDICAL CENTER,416
CENTURA HEALTH-ST THOMAS MORE HOSPITAL,417
CGH MEDICAL CENTER,418
CHAMBERSBURG HOSPITAL,419
CHAMPLAIN VALLEY PHYSICIANS HOSPITAL MEDICAL CTR,420
CHANDLER REGIONAL MEDICAL CENTER,421
CHAPMAN MEDICAL CENTER,422
CHARITY HOSPITAL & MEDICAL CENTER OF LOUI AT NO,423
CHARLESTON AREA MEDICAL CENTER,424
CHARLOTTE HUNGERFORD HOSPITAL,425
CHARLOTTE REGIONAL MEDICAL CENTER,426
CHELSEA COMMUNITY HOSPITAL,427
"CHENANGO MEMORIAL HOSPITAL, INC",428
CHEROKEE INDIAN HOSPITAL AUTHORITY,429
CHEROKEE MEDICAL CENTER,430
CHESAPEAKE REGIONAL MEDICAL CENTER,431
CHESHIRE MEDICAL CENTER,432
CHESTATEE REGIONAL HOSPITAL,433
CHESTER COUNTY HOSPITAL,434
CHESTER REGIONAL MEDICAL CENTER,435
CHESTER RIVER HOSPITAL CENTER,436
CHESTERFIELD GENERAL HOSPITAL,437
CHESTNUT HILL HOSPITAL,438
CHEYENNE REGIONAL MEDICAL CENTER,439
CHICKASAW NATION MEDICAL CENTER,440
CHILDRESS REGIONAL MEDICAL CENTER,441
CHILTON HOSPITAL,442
CHILTON MEDICAL CENTER,443
CHINESE HOSPITAL,444
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,445
CHINO VALLEY MEDICAL CENTER,446
CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL,447
CHOCTAW MEMORIAL HOSPITAL,448
CHOCTAW NATION HEALTHCARE,449
CHRIST HOSPITAL,450
CHRISTIAN HOSPITAL NORTHEAST,451
"CHRISTIANA CARE HEALTH SERVICES, INC.",452
CHRISTUS HOSPITAL,453
CHRISTUS JASPER MEMORIAL HOSPITAL,454
CHRISTUS SANTA ROSA HOSPITAL,455
CHRISTUS SCHUMPERT HEALTH SYSTEM,456
CHRISTUS SPOHN HOSPITAL ALICE,457
CHRISTUS SPOHN HOSPITAL BEEVILLE,458
CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,459
CHRISTUS SPOHN HOSPITAL KLEBERG,460
CHRISTUS ST CATHERINE HOSPITAL,461
CHRISTUS ST FRANCES CABRINI HOSPITAL,462
CHRISTUS ST JOHN HOSPITAL,463
CHRISTUS ST MICHAEL HEALTH SYSTEM,464
CHRISTUS ST PATRICK HOSPITAL,465
CHRISTUS ST VINCENT PHYSICIANS MEDICAL CENTER,466
CIBOLA GENERAL HOSPITAL,467
CITIZENS BAPTIST MEDICAL CENTER,468
CITIZENS MEDICAL CENTER,469
CITIZENS MEMORIAL HOSPITAL,470
CITRUS MEMORIAL HOSPITAL,471
CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,472
CITY HOSPITAL,473
CIVISTA MEDICAL CENTER,474
CJW MEDICAL CENTER,475
CLAIBORNE COUNTY HOSPITAL,476
CLARA MAASS MEDICAL CENTER,477
CLAREMORE INDIAN HOSPITAL,478
CLAREMORE REGIONAL HOSPITAL,479
CLARENDON MEMORIAL HOSPITAL,480
CLARION HOSPITAL,481
CLARK MEMORIAL HOSPITAL,482
CLARK REGIONAL MEDICAL CENTER,483
CLAXTON-HEPBURN MEDICAL CENTER,484
CLAY COUNTY HOSPITAL,485
CLAY COUNTY MEDICAL CENTER,486
CLEAR LAKE REGIONAL MEDICAL CENTER,487
CLEARFIELD HOSPITAL,488
CLEVELAND CLINIC,489
CLEVELAND CLINIC HOSPITAL,490
CLEVELAND REGIONAL MEDICAL CENTER,491
CLEVELAND REGIONAL MEDICAL CTR,492
CLIFTON SPRINGS HOSPITAL AND CLINIC,493
CLINCH VALLEY MEDICAL CENTER,494
"CLINTON COUNTY HOSPITAL, INC",495
CLINTON HOSPITAL ASSOCIATION,496
CLINTON MEMORIAL HOSPITAL,497
CLOVIS COMMUNITY MEDICAL CENTER,498
COALINGA REGIONAL MEDICAL CENTER,499
COAST PLAZA HOSPITAL,500
COASTAL CAROLINA HOSPITAL,501
COASTAL COMMUNITIES HOSPITAL,502
COBB MEMORIAL HOSPITAL,503
COBLESKILL REGIONAL HOSPITAL,504
COFFEE REGIONAL MEDICAL CENTER,505
COFFEY COUNTY HOSPITAL,506
COFFEYVILLE REGIONAL MEDICAL CENTER,507
COGDELL MEMORIAL HOSPITAL,508
COLISEUM MEDICAL CENTER,509
COLISEUM NORTHSIDE HOSPITAL,510
COLLEGE HOSPITAL COSTA MESA,511
COLLEGE STATION MEDICAL CENTER,512
COLLETON MEDICAL CENTER,513
COLORADO FAYETTE MEDICAL CENTER,514
COLORADO PLAINS MEDICAL CENTER,515
COLQUITT REGIONAL MEDICAL CENTER,516
COLUMBIA HOSPITAL,517
COLUMBIA MEMORIAL HOSPITAL,518
"COLUMBIA ST MARY'S HOSPITAL OZAUKEE, INC",519
COLUMBIA ST MARYS HSPTL  MILW (COL & MILW CAMPUS),520
COLUMBUS COMMUNITY HOSPITAL,521
COLUMBUS REGIONAL HEALTHCARE SYSTEM,522
COLUMBUS REGIONAL HOSPITAL,523
COLUSA REGIONAL MEDICAL CENTER,524
COMANCHE COUNTY MEDICAL CENTER,525
COMANCHE COUNTY MEMORIAL HOSPITAL,526
COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK,527
COMMUNITY GENERAL HOSPITAL,528
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,529
COMMUNITY HOSPITAL,530
COMMUNITY HOSPITAL EAST,531
COMMUNITY HOSPITAL INC,532
COMMUNITY HOSPITAL NORTH,533
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,534
COMMUNITY HOSPITAL OF LONG BEACH,535
COMMUNITY HOSPITAL OF SAN BERNARDINO,536
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,537
COMMUNITY HOSPITAL SOUTH,538
COMMUNITY HOSPITALS AND WELLNESS CENTERS,539
COMMUNITY MEDICAL CENTER,540
COMMUNITY MEDICAL CENTER INC,541
COMMUNITY MEM HSPTL,542
"COMMUNITY MEMORIAL HEALTHCENTER, INC",543
COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,544
"COMMUNITY MEMORIAL HOSPITAL, INC",545
COMMUNITY REGIONAL MEDICAL CENTER,546
COMMUNITY-GENERAL HOSPITAL OF GREATER SYRACUSE,547
CONCORD HOSPITAL,548
CONEMAUGH VALLEY MEMORIAL HOSPITAL,549
CONEY ISLAND HOSPITAL,550
CONNALLY MEMORIAL MEDICAL CENTER,551
CONROE REGIONAL MEDICAL CENTER,552
CONTRA COSTA REGIONAL MEDICAL CENTER,553
CONWAY MEDICAL CENTER,554
CONWAY REGIONAL MEDICAL CENTER,555
COOKEVILLE REGIONAL MEDICAL CENTER,556
"COOLEY DICKINSON HOSPITAL INC,THE",557
COOPER COUNTY MEMORIAL HOSPITAL,558
COOPER UNIVERSITY HOSPITAL,559
COORDINATED HEALTH ORTHOPEDIC HOSPITAL,560
COOSA VALLEY MEDICAL CENTER,561
COPLEY MEMORIAL HOSPITAL,562
CORAL GABLES HOSPITAL,563
CORAL SPRINGS MEDICAL CENTER,564
CORNERSTONE REGIONAL HOSPITAL,565
CORNING HOSPITAL,566
CORONA REGIONAL MEDICAL CENTER,567
"CORPUS CHRISTI MEDICAL CENTER,THE",568
"CORTLAND REGIONAL MEDICAL CENTER, INC",569
COSHOCTON COUNTY MEMORIAL HOSPITAL,570
COVENANT HOSPITAL LEVELLAND,571
COVENANT HOSPITAL PLAINVIEW,572
COVENANT MEDICAL CENTER,573
"COVENANT MEDICAL CENTER, INC",574
COX MEDICAL CENTER,575
COZBY-GERMANY HOSPITAL,576
CRAIG GENERAL HOSPITAL,577
CREIGHTON UNIVERSITY MEDICAL CENTER - SAINT JOSEPH,578
